"product_id","product_name","category","brand","price"
1,"Product_1","Electronics","Apple",247.22
2,"Product_2","Books","Penguin",95.73
3,"Product_3","Electronics","LG",380.78
4,"Product_4","Electronics","Sony",156.05
5,"Product_5","Clothing","Puma",87.01
6,"Product_6","Sports","Adidas",21.24
7,"Product_7","Clothing","H&M",72.57
8,"Product_8","Clothing","Adidas",92.68
9,"Product_9","Electronics","Sony",262.18
10,"Product_10","Beauty","Nivea",406.5
11,"Product_11","Toys","LEGO",62.1
12,"Product_12","Beauty","Maybelline",447.24
13,"Product_13","Toys","Fisher-Price",289.8
14,"Product_14","Sports","Adidas",77.55
15,"Product_15","Electronics","Samsung",451.89
16,"Product_16","Books","Penguin",130.24
17,"Product_17","Food","Unilever",79.55
18,"Product_18","Sports","Under Armour",385.43
19,"Product_19","Clothing","H&M",118.91
20,"Product_20","Clothing","Adidas",156.17
21,"Product_21","Toys","LEGO",261.69
22,"Product_22","Home & Garden","Tefal",170.63
23,"Product_23","Electronics","Sony",81.45
24,"Product_24","Electronics","Apple",136.85
25,"Product_25","Home & Garden","Tefal",178.62
26,"Product_26","Sports","Under Armour",291.34
27,"Product_27","Books","Hachette",405.26
28,"Product_28","Toys","Hasbro",466.97
29,"Product_29","Books","Penguin",417.76
30,"Product_30","Books","Macmillan",67.87
31,"Product_31","Sports","Under Armour",326.48
32,"Product_32","Clothing","H&M",346.72
33,"Product_33","Sports","Reebok",20.86
34,"Product_34","Beauty","Maybelline",460.64
35,"Product_35","Home & Garden","Philips",241.84
36,"Product_36","Clothing","Nike",136.93
37,"Product_37","Electronics","Samsung",428.97
38,"Product_38","Clothing","Nike",118.43
39,"Product_39","Beauty","Garnier",397.01
40,"Product_40","Food","PepsiCo",325.15
41,"Product_41","Home & Garden","IKEA",215.05
42,"Product_42","Toys","Fisher-Price",52.06
43,"Product_43","Food","PepsiCo",6.72
44,"Product_44","Clothing","Nike",267.91
45,"Product_45","Beauty","LOreal",264.53
46,"Product_46","Sports","Nike",110.53
47,"Product_47","Sports","Reebok",359.88
48,"Product_48","Food","Kraft",480.87
49,"Product_49","Clothing","Zara",261.54
50,"Product_50","Books","Scholastic",91.39
51,"Product_51","Sports","Puma",283.46
52,"Product_52","Books","Hachette",380.83
53,"Product_53","Sports","Nike",335.15
54,"Product_54","Clothing","Zara",116.31
55,"Product_55","Beauty","Maybelline",176.2
56,"Product_56","Clothing","Puma",163.32
57,"Product_57","Home & Garden","Bosch",452.92
58,"Product_58","Beauty","LOreal",103.6
59,"Product_59","Toys","LEGO",342.08
60,"Product_60","Electronics","Samsung",73.07
61,"Product_61","Books","Macmillan",57.96
62,"Product_62","Clothing","Adidas",50.97
63,"Product_63","Clothing","Puma",458.64
64,"Product_64","Food","PepsiCo",142.14
65,"Product_65","Food","PepsiCo",443.47
66,"Product_66","Clothing","Puma",387.57
67,"Product_67","Sports","Nike",398.55
68,"Product_68","Home & Garden","Dyson",106.81
69,"Product_69","Food","Nestle",28.86
70,"Product_70","Books","Penguin",24.21
71,"Product_71","Clothing","Puma",145.86
72,"Product_72","Toys","Mattel",177.66
73,"Product_73","Food","Nestle",370.04
74,"Product_74","Clothing","Adidas",129.57
75,"Product_75","Clothing","H&M",261.13
76,"Product_76","Beauty","Nivea",380.93
77,"Product_77","Books","Scholastic",319.86
78,"Product_78","Electronics","Xiaomi",105.95
79,"Product_79","Electronics","Sony",496.56
